State,total_landfills,total_waste_in_place_tons,total_lfg_collected,total_lfg_flared,collection_efficiency_pct,total_projects,total_rated_mw,total_actual_mw,total_emission_reductions_mmtco2e,mw_efficiency_percentage
NC,25,3605.0,45.55,10.71,81.0,32,75.3,46.79,2.5627,62.1
WI,19,2597.0,72.89,17.11,81.0,33,70.92,44.83,2.8102,63.2
CA,47,2364.0,324.64,75.39,81.2,78,350.71,259.13,11.5288,73.9
VA,23,1392.0,128.76,53.73,70.6,36,131.4,59.27,3.9473,45.1
MI,35,1341.0,248.88,52.71,82.5,67,161.35,107.89,6.7339,66.9
TX,29,1058.0,197.61,43.49,82.0,35,33.17,15.67,9.656,47.2
OK,6,1035.0,13.39,2.48,84.4,6,3.2,1.94,1.0307,60.6
PA,32,914.0,241.22,56.89,80.9,59,196.33,111.45,9.4772,56.8
CT,2,843.0,1.19,0.0,100.0,2,4.8,3.89,0.1968,81.0
NY,20,705.0,200.48,45.1,81.6,42,121.5,99.75,4.995,82.1
IN,18,631.0,121.13,38.34,76.0,32,70.7,49.4,3.277,69.9
MO,12,555.0,63.0,30.5,67.4,21,35.1,22.09,1.3058,62.9
FL,20,514.0,79.88,29.77,72.9,31,84.3,74.77,2.6633,88.7
OH,14,421.0,80.98,10.61,88.4,20,24.0,17.2,3.5568,71.7
IL,18,339.0,61.08,15.81,79.4,24,87.75,58.81,2.4004,67.0
NJ,10,253.0,62.07,18.15,77.4,23,151.88,101.97,1.8744,67.1
OR,7,239.0,41.61,17.55,70.3,10,36.0,28.04,1.419,77.9
GA,17,231.0,45.03,19.9,69.3,23,63.61,43.45,2.2477,68.3
SC,12,227.0,43.09,27.04,61.4,17,48.8,16.33,1.1348,33.5
NH,2,212.0,56.65,11.36,83.3,8,23.61,13.77,0.7897,58.3
RI,2,165.0,65.78,16.56,79.9,5,59.8,33.36,0.9594,55.8
TN,9,156.0,32.82,13.75,70.5,14,10.66,7.03,1.4735,65.9
KS,7,138.0,27.5,6.43,81.1,9,9.15,7.3,0.7586,79.8
NV,2,127.0,7.41,2.83,72.3,2,15.2,6.64,0.336,43.7
CO,4,120.0,7.23,4.37,62.3,4,12.8,7.37,0.2089,57.6
LA,8,117.0,21.76,0.78,96.5,10,,,1.362,0
NE,6,111.0,23.83,4.25,84.9,9,11.2,9.18,0.8793,82.0
KY,11,105.0,22.83,7.74,74.7,12,17.8,11.4,1.3024,64.0
WA,3,87.0,15.11,4.43,77.3,3,4.8,3.68,1.0311,76.7
IA,7,78.0,13.63,1.09,92.6,8,16.8,13.05,1.0935,77.7
DE,3,77.0,24.09,12.23,66.3,7,18.68,11.61,0.5874,62.2
MA,8,68.0,13.55,3.08,81.5,12,28.0,14.4,0.6883,51.4
UT,4,48.0,12.62,5.02,71.5,6,11.98,10.92,0.5524,91.1
MD,7,46.0,7.0,1.16,85.8,8,18.41,8.84,0.4902,48.0
MS,5,44.0,7.31,0.8,90.2,7,3.8,2.77,0.4761,72.9
MN,5,42.0,6.61,2.56,72.1,6,4.8,3.13,0.2919,65.3
AR,3,35.0,8.2,3.17,72.1,3,4.8,2.89,0.3603,60.2
VT,2,34.0,13.64,,,5,12.8,9.65,0.3553,75.4
NM,2,32.0,3.1,1.84,62.7,2,3.2,1.76,0.1315,55.0
ID,4,32.0,6.86,2.33,74.7,5,13.5,7.16,0.3623,53.0
AL,4,32.0,7.01,1.91,78.6,5,6.6,5.09,0.3736,77.1
AZ,1,25.0,1.93,0.83,69.9,1,3.2,2.24,0.1134,70.0
ME,3,24.0,5.43,3.88,58.3,3,3.2,3.27,0.587,102.2
PR,3,23.0,2.11,0.06,97.1,3,4.88,3.65,0.1849,75.0
AK,1,22.0,8.13,3.83,68.0,2,7.0,4.78,0.2419,68.3
ND,1,14.0,1.82,0.09,95.2,2,0.93,0.8,0.1136,86.5
MT,2,14.0,2.54,0.0,100.0,3,3.2,1.34,0.1556,41.9
WV,3,10.0,2.75,1.06,72.2,3,3.2,1.16,0.1398,36.2
SD,2,9.0,2.22,1.38,61.7,2,,,0.0941,0
